Tên Merchant,Tên thương hiệu/ cửa hàng,Danh mục ngành hàng,điểm bán,Tỉnh/Thành phố,Quận/Huyện,Phường/Xã,Địa chỉ,Số điện thoại,Website,Mô tả,Tên ảnh
Hộ kinh doanh Shop Mẹ Múp,Shop Mẹ Múp,Mẹ và bé,Shop Mẹ Múp,Hà Nội,Ba Đình,Thành Công,P111-H1 tập thể Thành Công, 02438696888,http://shopmemup.com/,Shop mẹ Múp - Hàng xách tay chính hãng cho bé và gia đình,logo-ShopMeMup.png
Công ty cổ phần đầu tư K&G Việt Nam ,Aristino,Thời trang,Aristino Xuan Thuy,Hà Nội,Cầu Giấy,Dịch Vọng,61 Xuân Thủy,18006226,https://aristino.com/,Aristino - Thương hiệu thời trang dành cho phái mạnh,aristino.png
Công ty cổ phần đầu tư K&G Việt Nam ,Aristino,Thời trang,Aristino Times City,Hà Nội,Hai Bà Trưng,Minh Khai,"D7-11-13 Đường thời đại, TTTM Times City, 458 Minh Khai",18006226,https://aristino.com/,Aristino - Thương hiệu thời trang dành cho phái mạnh,aristino.png
Công ty cổ phần đầu tư K&G Việt Nam ,Aristino,Thời trang,Aristino Thai Ha,Hà Nội,Đống Đa,Láng Hạ,169B Thái Hà,18006226,https://aristino.com/,Aristino - Thương hiệu thời trang dành cho phái mạnh,aristino.png
Công ty cổ phần đầu tư K&G Việt Nam ,Aristino,Thời trang,Aristino T.D.Hung,Hà Nội,Cầy Giấy,Trung Hòa,108 Trần Duy Hưng,18006226,https://aristino.com/,Aristino - Thương hiệu thời trang dành cho phái mạnh,aristino.png
Công ty cổ phần đầu tư K&G Việt Nam ,Aristino,Thời trang,Aristino Long Bien,Hà Nội,Long Biên,Gia Thụy,"TTTM BigC, Savico Long Biên",18006226,https://aristino.com/,Aristino - Thương hiệu thời trang dành cho phái mạnh,aristino.png
Công ty cổ phần đầu tư K&G Việt Nam ,Aristino,Thời trang,Aristino L.T.Tan,Hà Nội,Thanh Xuân,Khương Trung,"T240, tầng M, TTTM Artemis, số 03 Lê Trọng Tấn",18006226,https://aristino.com/,Aristino - Thương hiệu thời trang dành cho phái mạnh,aristino.png
Công ty cổ phần đầu tư K&G Việt Nam ,Aristino,Thời trang,Aristino Giang Vo,Hà Nội,Đống Đa,Cát linh,103 K1 Giảng Võ,18006226,https://aristino.com/,Aristino - Thương hiệu thời trang dành cho phái mạnh,aristino.png
Công ty cổ phần đầu tư K&G Việt Nam ,Aristino,Thời trang,Aristino Chua Boc,Hà Nội,Đống Đa,Trung Liệt,171 Chùa Bộc,18006226,https://aristino.com/,Aristino - Thương hiệu thời trang dành cho phái mạnh,aristino.png
Công ty cổ phần đầu tư K&G Việt Nam ,Aristino,Thời trang,Aristino Big C,Hà Nội,Cầy Giấy,Trung Hòa,"BN08, Big C, 222 Trần Duy Hưng",18006226,https://aristino.com/,Aristino - Thương hiệu thời trang dành cho phái mạnh,aristino.png
Công ty cổ phần đầu tư K&G Việt Nam ,Aristino,Thời trang,Aristino B.T.Liem,Hà Nội,Bắc Từ Liêm,Cổ Nhuế,"Tầng B1-11 Vincom Plaza Bắc Từ Liêm,",18006226,https://aristino.com/,Aristino - Thương hiệu thời trang dành cho phái mạnh,aristino.png
CT TNHH Thực Phẩm Plaza,Thực phẩm Plaza,Mua sắm,Thực phẩm Plaza,Hà Nội,Ba Đình,Cống Vị,Số 56 Linh Lang,098 933 06 83,http://thucphamplaza.com/,THỰC PHẨM PLAZA – siêu thị trực tuyến hàng đầu tại Việt Nam chuyên cung cấp các mặt hàng thực phẩm và đồ uống nhập khẩu cao cấp của Châu Âu.,
CT TNHH Thực Phẩm Plaza,Thực phẩm Plaza,Mua sắm,Thực phẩm Plaza,Hà Nội,Tây Hồ,Yên Phụ,Số 32 đường Thanh Niên,098 933 06 83,http://thucphamplaza.com/,THỰC PHẨM PLAZA – siêu thị trực tuyến hàng đầu tại Việt Nam chuyên cung cấp các mặt hàng thực phẩm và đồ uống nhập khẩu cao cấp của Châu Âu.,
HKD Vĩnh Khang,HKD Vĩnh Khang,Dịch vụ khác,KAROFI,Hà Nội,Hai Bà Trưng,Thanh Lương,155 Lãng Yên,,,,
HKD Vĩnh Khang,HKD Vĩnh Khang,Dịch vụ khác,KAROFI,Hà Nội,Ứng Hòa,Vân Đình,268 Lê Lợi,,,,
Công Ty Tnhh Công Nghệ Tài Chính Kết Nối Lời Chào,Helio Coffee,Quán café,Helio Coffee,Hà Nội,Hoàn Kiếm,Hàng Bạc,57B Đinh Tiên Hoàng,02435187054,http://heliocoffee.com.vn,"Helio Coffee là chuỗi Quán Cà phê sang trọng, mang đậm phong vị Việt Nam. ",Helio.png
Công Ty Tnhh Công Nghệ Tài Chính Kết Nối Lời Chào,Helio Coffee,Quán café,Helio Coffee,Hà Nội,Cầy Giấy,Quan Hoa,66 Nguyễn Văn Huyên,02435187055,http://heliocoffee.com.vn,"Helio Coffee là chuỗi Quán Cà phê sang trọng, mang đậm phong vị Việt Nam. ",Helio.png
Công Ty Tnhh Công Nghệ Tài Chính Kết Nối Lời Chào,Helio Coffee,Quán café,Helio Coffee,Hà Nội,Hoàn Kiếm,Hàng Bài,47 Bà Triệu,02435187056,http://heliocoffee.com.vn,"Helio Coffee là chuỗi Quán Cà phê sang trọng, mang đậm phong vị Việt Nam. ",Helio.png
